tanggal,stasiun,pm10,so2,co,o3,no2,max,critical,categori
11/27/2012,DKI5 (Kebon Jeruk),84,,42,47,16,84,PM10,SEDANG
11/28/2012,DKI5 (Kebon Jeruk),62,,23,49,8,62,PM10,SEDANG
11/29/2012,DKI5 (Kebon Jeruk),69,,19,123,10,123,O3,TIDAK SEHAT
11/30/2012,DKI5 (Kebon Jeruk),72,1,25,113,14,113,O3,TIDAK SEHAT
12/1/2012,DKI5 (Kebon Jeruk),54,,25,72,10,72,O3,SEDANG
12/2/2012,DKI5 (Kebon Jeruk),63,,19,63,8,63,PM10,SEDANG
12/3/2012,DKI5 (Kebon Jeruk),38,0,16,21,8,38,PM10,BAIK
12/4/2012,DKI5 (Kebon Jeruk),34,0,8,24,6,34,PM10,BAIK
12/5/2012,DKI5 (Kebon Jeruk),48,0,18,197,7,197,O3,TIDAK SEHAT
12/6/2012,DKI5 (Kebon Jeruk),55,2,20,73,11,73,O3,SEDANG
12/7/2012,DKI5 (Kebon Jeruk),73,2,40,66,14,73,PM10,SEDANG
12/8/2012,DKI5 (Kebon Jeruk),46,2,17,75,11,75,O3,SEDANG
12/9/2012,DKI5 (Kebon Jeruk),56,4,23,96,13,96,O3,SEDANG
12/10/2012,DKI5 (Kebon Jeruk),,1,12,79,7,79,O3,SEDANG
12/11/2012,DKI5 (Kebon Jeruk),,2,27,50,15,50,O3,BAIK
12/12/2012,DKI5 (Kebon Jeruk),,4,33,39,15,39,O3,BAIK
12/13/2012,DKI5 (Kebon Jeruk),,3,20,33,12,33,O3,BAIK
12/14/2012,DKI5 (Kebon Jeruk),,2,26,73,13,73,O3,SEDANG
12/15/2012,DKI5 (Kebon Jeruk),,2,44,32,13,44,CO,BAIK
12/16/2012,DKI5 (Kebon Jeruk),,2,20,31,12,31,O3,BAIK
12/17/2012,DKI5 (Kebon Jeruk),,6,14,65,7,65,O3,SEDANG
12/18/2012,DKI5 (Kebon Jeruk),,2,26,33,15,33,O3,BAIK
12/19/2012,DKI5 (Kebon Jeruk),,3,51,30,8,51,CO,SEDANG
12/20/2012,DKI5 (Kebon Jeruk),,3,17,37,12,37,O3,BAIK
12/21/2012,DKI5 (Kebon Jeruk),,2,26,40,14,40,O3,BAIK
12/22/2012,DKI5 (Kebon Jeruk),,1,20,28,6,28,O3,BAIK
12/23/2012,DKI5 (Kebon Jeruk),,1,33,29,8,33,CO,BAIK
12/24/2012,DKI5 (Kebon Jeruk),,3,12,45,5,45,O3,BAIK
12/25/2012,DKI5 (Kebon Jeruk),,2,7,33,5,33,O3,BAIK
12/26/2012,DKI5 (Kebon Jeruk),,,8,55,5,55,O3,SEDANG
12/27/2012,DKI5 (Kebon Jeruk),,1,8,33,4,33,O3,BAIK
12/28/2012,DKI5 (Kebon Jeruk),,1,7,30,4,30,O3,BAIK
12/29/2012,DKI5 (Kebon Jeruk),,2,9,26,11,26,O3,BAIK
12/30/2012,DKI5 (Kebon Jeruk),,1,8,25,4,25,O3,BAIK
12/31/2012,DKI5 (Kebon Jeruk),,1,6,21,3,21,O3,BAIK
1/1/2013,DKI5 (Kebon Jeruk),,1,13,38,7,38,O3,BAIK
1/2/2013,DKI5 (Kebon Jeruk),,2,12,30,5,30,O3,BAIK
1/3/2013,DKI5 (Kebon Jeruk),61,2,34,27,8,61,PM10,SEDANG
1/4/2013,DKI5 (Kebon Jeruk),28,2,7,26,4,28,PM10,BAIK
1/5/2013,DKI5 (Kebon Jeruk),26,4,6,31,6,31,O3,BAIK
1/6/2013,DKI5 (Kebon Jeruk),26,2,11,21,7,26,PM10,BAIK
1/7/2013,DKI5 (Kebon Jeruk),23,2,7,34,4,34,O3,BAIK
1/8/2013,DKI5 (Kebon Jeruk),33,2,11,13,5,33,PM10,BAIK
1/9/2013,DKI5 (Kebon Jeruk),12,0,6,16,4,16,O3,BAIK
1/10/2013,DKI5 (Kebon Jeruk),16,2,6,18,4,18,O3,BAIK
1/11/2013,DKI5 (Kebon Jeruk),22,4,7,20,5,22,PM10,BAIK
1/12/2013,DKI5 (Kebon Jeruk),35,5,8,29,5,35,PM10,BAIK
1/13/2013,DKI5 (Kebon Jeruk),37,1,26,32,10,37,PM10,BAIK
1/14/2013,DKI5 (Kebon Jeruk),49,3,26,30,7,49,PM10,BAIK
1/15/2013,DKI5 (Kebon Jeruk),36,1,17,47,9,47,O3,BAIK
1/16/2013,DKI5 (Kebon Jeruk),34,1,31,41,13,41,O3,BAIK
1/17/2013,DKI5 (Kebon Jeruk),54,1,30,33,14,54,PM10,SEDANG
1/18/2013,DKI5 (Kebon Jeruk),49,1,35,43,17,49,PM10,BAIK
1/19/2013,DKI5 (Kebon Jeruk),84,2,62,42,14,84,PM10,SEDANG
1/20/2013,DKI5 (Kebon Jeruk),35,2,12,42,6,42,O3,BAIK
1/21/2013,DKI5 (Kebon Jeruk),54,4,16,41,10,54,PM10,SEDANG
1/22/2013,DKI5 (Kebon Jeruk),53,6,16,35,11,53,PM10,SEDANG
1/23/2013,DKI5 (Kebon Jeruk),48,4,37,28,12,48,PM10,BAIK
1/24/2013,DKI5 (Kebon Jeruk),23,2,8,23,7,23,PM10,BAIK
1/25/2013,DKI5 (Kebon Jeruk),48,2,15,29,8,48,PM10,BAIK
1/26/2013,DKI5 (Kebon Jeruk),57,5,39,38,11,57,PM10,SEDANG
1/27/2013,DKI5 (Kebon Jeruk),49,3,16,25,9,49,PM10,BAIK
1/28/2013,DKI5 (Kebon Jeruk),28,3,10,23,8,28,PM10,BAIK
1/29/2013,DKI5 (Kebon Jeruk),65,6,27,28,11,65,PM10,SEDANG
1/30/2013,DKI5 (Kebon Jeruk),52,4,14,32,11,52,PM10,SEDANG
1/31/2013,DKI5 (Kebon Jeruk),67,4,26,83,10,83,O3,SEDANG
2/1/2013,DKI5 (Kebon Jeruk),69,5,29,47,13,69,PM10,SEDANG
2/2/2013,DKI5 (Kebon Jeruk),51,3,12,36,8,51,PM10,SEDANG
2/3/2013,DKI5 (Kebon Jeruk),64,3,57,38,17,64,PM10,SEDANG
2/4/2013,DKI5 (Kebon Jeruk),87,4,52,117,24,117,O3,TIDAK SEHAT
2/5/2013,DKI5 (Kebon Jeruk),54,2,28,106,15,106,O3,TIDAK SEHAT
2/6/2013,DKI5 (Kebon Jeruk),38,1,14,33,6,38,PM10,BAIK
2/7/2013,DKI5 (Kebon Jeruk),45,1,41,92,12,92,O3,SEDANG
2/8/2013,DKI5 (Kebon Jeruk),65,3,25,107,14,107,O3,TIDAK SEHAT
2/9/2013,DKI5 (Kebon Jeruk),66,3,17,63,9,66,PM10,SEDANG
2/10/2013,DKI5 (Kebon Jeruk),53,2,35,165,16,165,O3,TIDAK SEHAT
2/11/2013,DKI5 (Kebon Jeruk),63,2,39,74,18,74,O3,SEDANG
2/12/2013,DKI5 (Kebon Jeruk),64,2,23,85,11,85,O3,SEDANG
2/13/2013,DKI5 (Kebon Jeruk),33,4,18,90,12,90,O3,SEDANG
2/14/2013,DKI5 (Kebon Jeruk),54,5,22,44,15,54,PM10,SEDANG
2/15/2013,DKI5 (Kebon Jeruk),49,4,19,48,8,49,PM10,BAIK
2/16/2013,DKI5 (Kebon Jeruk),32,3,7,40,5,40,O3,BAIK
2/17/2013,DKI5 (Kebon Jeruk),14,2,7,34,4,34,O3,BAIK
2/18/2013,DKI5 (Kebon Jeruk),14,3,11,34,5,34,O3,BAIK
2/19/2013,DKI5 (Kebon Jeruk),4,4,11,30,7,30,O3,BAIK
2/20/2013,DKI5 (Kebon Jeruk),6,4,23,27,8,27,O3,BAIK
2/21/2013,DKI5 (Kebon Jeruk),9,3,30,31,14,31,O3,BAIK
2/22/2013,DKI5 (Kebon Jeruk),2,3,18,37,8,37,O3,BAIK
2/23/2013,DKI5 (Kebon Jeruk),3,3,10,41,7,41,O3,BAIK
2/24/2013,DKI5 (Kebon Jeruk),12,2,29,45,13,45,O3,BAIK
2/25/2013,DKI5 (Kebon Jeruk),6,3,10,49,6,49,O3,BAIK
2/26/2013,DKI5 (Kebon Jeruk),6,3,12,46,8,46,O3,BAIK
2/27/2013,DKI5 (Kebon Jeruk),6,2,13,35,9,35,O3,BAIK
2/28/2013,DKI5 (Kebon Jeruk),13,2,7,25,3,25,O3,BAIK
3/1/2013,DKI5 (Kebon Jeruk),9,3,8,34,3,34,O3,BAIK
3/2/2013,DKI5 (Kebon Jeruk),9,3,9,47,5,47,O3,BAIK
3/3/2013,DKI5 (Kebon Jeruk),8,4,16,48,8,48,O3,BAIK
3/4/2013,DKI5 (Kebon Jeruk),26,1,13,30,8,30,O3,BAIK
3/5/2013,DKI5 (Kebon Jeruk),3,2,13,37,8,37,O3,BAIK
3/6/2013,DKI5 (Kebon Jeruk),36,7,79,69,18,79,CO,SEDANG
3/7/2013,DKI5 (Kebon Jeruk),19,6,90,96,28,96,O3,SEDANG
3/8/2013,DKI5 (Kebon Jeruk),8,8,12,44,11,44,O3,BAIK
3/9/2013,DKI5 (Kebon Jeruk),10,10,21,39,12,39,O3,BAIK
3/10/2013,DKI5 (Kebon Jeruk),58,3,9,31,5,58,PM10,SEDANG
3/11/2013,DKI5 (Kebon Jeruk),13,3,10,26,3,26,O3,BAIK
3/12/2013,DKI5 (Kebon Jeruk),22,4,30,75,13,75,O3,SEDANG
3/13/2013,DKI5 (Kebon Jeruk),49,4,19,20,8,49,PM10,BAIK
3/14/2013,DKI5 (Kebon Jeruk),52,4,15,62,14,62,O3,SEDANG
3/15/2013,DKI5 (Kebon Jeruk),64,5,27,54,14,64,PM10,SEDANG
3/16/2013,DKI5 (Kebon Jeruk),67,6,25,50,10,67,PM10,SEDANG
3/17/2013,DKI5 (Kebon Jeruk),56,4,33,39,10,56,PM10,SEDANG
3/18/2013,DKI5 (Kebon Jeruk),46,4,9,35,4,46,PM10,BAIK
3/19/2013,DKI5 (Kebon Jeruk),59,5,19,100,11,100,O3,SEDANG
3/20/2013,DKI5 (Kebon Jeruk),63,3,20,72,13,72,O3,SEDANG
3/21/2013,DKI5 (Kebon Jeruk),59,3,26,85,18,85,O3,SEDANG
3/22/2013,DKI5 (Kebon Jeruk),74,3,26,58,16,74,PM10,SEDANG
3/23/2013,DKI5 (Kebon Jeruk),76,3,37,52,14,76,PM10,SEDANG
3/24/2013,DKI5 (Kebon Jeruk),51,2,23,64,11,64,O3,SEDANG
3/25/2013,DKI5 (Kebon Jeruk),47,4,17,81,12,81,O3,SEDANG
3/26/2013,DKI5 (Kebon Jeruk),81,3,44,84,17,84,O3,SEDANG
3/27/2013,DKI5 (Kebon Jeruk),80,3,31,112,14,112,O3,TIDAK SEHAT
3/28/2013,DKI5 (Kebon Jeruk),90,4,36,213,12,213,O3,SANGAT TIDAK SEHAT
3/29/2013,DKI5 (Kebon Jeruk),79,4,21,155,8,155,O3,TIDAK SEHAT
3/30/2013,DKI5 (Kebon Jeruk),61,3,14,34,7,61,PM10,SEDANG
3/31/2013,DKI5 (Kebon Jeruk),38,3,11,68,5,68,O3,SEDANG
4/1/2013,DKI5 (Kebon Jeruk),54,3,26,100,17,100,O3,SEDANG
4/2/2013,DKI5 (Kebon Jeruk),67,4,40,88,20,88,O3,SEDANG
4/3/2013,DKI5 (Kebon Jeruk),66,2,24,68,12,68,O3,SEDANG
4/4/2013,DKI5 (Kebon Jeruk),60,4,23,72,9,72,O3,SEDANG
4/5/2013,DKI5 (Kebon Jeruk),56,2,37,39,15,56,PM10,SEDANG
4/6/2013,DKI5 (Kebon Jeruk),47,2,10,68,6,68,O3,SEDANG
4/7/2013,DKI5 (Kebon Jeruk),38,3,11,55,7,55,O3,SEDANG
4/8/2013,DKI5 (Kebon Jeruk),49,3,26,167,12,167,O3,TIDAK SEHAT
4/9/2013,DKI5 (Kebon Jeruk),55,4,20,167,10,167,O3,TIDAK SEHAT
4/10/2013,DKI5 (Kebon Jeruk),63,4,16,62,9,63,PM10,SEDANG
4/11/2013,DKI5 (Kebon Jeruk),56,7,19,68,10,68,O3,SEDANG
4/12/2013,DKI5 (Kebon Jeruk),55,3,26,27,14,55,PM10,SEDANG
4/13/2013,DKI5 (Kebon Jeruk),30,3,8,25,5,30,PM10,BAIK
4/14/2013,DKI5 (Kebon Jeruk),29,2,5,28,2,29,PM10,BAIK
4/15/2013,DKI5 (Kebon Jeruk),42,2,,29,4,42,PM10,BAIK
4/16/2013,DKI5 (Kebon Jeruk),44,3,,50,13,50,O3,BAIK
4/17/2013,DKI5 (Kebon Jeruk),69,3,,104,12,104,O3,TIDAK SEHAT
4/18/2013,DKI5 (Kebon Jeruk),45,2,12,105,10,105,O3,TIDAK SEHAT
4/19/2013,DKI5 (Kebon Jeruk),52,4,41,133,13,133,O3,TIDAK SEHAT
4/20/2013,DKI5 (Kebon Jeruk),67,5,34,128,16,128,O3,TIDAK SEHAT
4/21/2013,DKI5 (Kebon Jeruk),69,5,37,69,13,69,PM10,SEDANG
4/22/2013,DKI5 (Kebon Jeruk),50,3,23,39,11,50,PM10,BAIK
4/23/2013,DKI5 (Kebon Jeruk),65,5,50,72,14,72,O3,SEDANG
4/24/2013,DKI5 (Kebon Jeruk),71,6,33,65,16,71,PM10,SEDANG
4/25/2013,DKI5 (Kebon Jeruk),79,3,43,140,13,140,O3,TIDAK SEHAT
4/26/2013,DKI5 (Kebon Jeruk),76,4,58,86,24,86,O3,SEDANG
4/27/2013,DKI5 (Kebon Jeruk),62,4,23,58,11,62,PM10,SEDANG
4/28/2013,DKI5 (Kebon Jeruk),62,3,26,48,13,62,PM10,SEDANG
4/29/2013,DKI5 (Kebon Jeruk),57,5,18,57,14,57,PM10,SEDANG
4/30/2013,DKI5 (Kebon Jeruk),59,5,15,63,13,63,O3,SEDANG
5/1/2013,DKI5 (Kebon Jeruk),,5,18,64,9,64,O3,SEDANG
5/2/2013,DKI5 (Kebon Jeruk),,4,21,83,12,83,O3,SEDANG
5/3/2013,DKI5 (Kebon Jeruk),64,6,19,60,13,64,PM10,SEDANG
5/4/2013,DKI5 (Kebon Jeruk),69,6,19,65,12,69,PM10,SEDANG
5/5/2013,DKI5 (Kebon Jeruk),67,5,19,53,13,67,PM10,SEDANG
5/6/2013,DKI5 (Kebon Jeruk),83,5,36,91,11,91,O3,SEDANG
5/7/2013,DKI5 (Kebon Jeruk),81,4,27,69,14,81,PM10,SEDANG
5/8/2013,DKI5 (Kebon Jeruk),58,3,20,53,10,58,PM10,SEDANG
5/9/2013,DKI5 (Kebon Jeruk),67,4,21,69,17,69,O3,SEDANG
5/10/2013,DKI5 (Kebon Jeruk),67,4,15,117,13,117,O3,TIDAK SEHAT
5/11/2013,DKI5 (Kebon Jeruk),,5,26,96,13,96,O3,SEDANG
5/12/2013,DKI5 (Kebon Jeruk),,3,20,60,16,60,O3,SEDANG
5/13/2013,DKI5 (Kebon Jeruk),,4,37,43,15,43,O3,BAIK
5/14/2013,DKI5 (Kebon Jeruk),,6,54,93,14,93,O3,SEDANG
5/15/2013,DKI5 (Kebon Jeruk),76,4,34,45,18,76,PM10,SEDANG
5/16/2013,DKI5 (Kebon Jeruk),59,4,19,48,19,59,PM10,SEDANG
5/17/2013,DKI5 (Kebon Jeruk),61,7,20,74,14,74,O3,SEDANG
5/18/2013,DKI5 (Kebon Jeruk),66,5,36,65,8,66,PM10,SEDANG
5/19/2013,DKI5 (Kebon Jeruk),71,6,31,99,15,99,O3,SEDANG
5/20/2013,DKI5 (Kebon Jeruk),49,4,20,154,13,154,O3,TIDAK SEHAT
5/21/2013,DKI5 (Kebon Jeruk),76,7,31,127,16,127,O3,TIDAK SEHAT
5/22/2013,DKI5 (Kebon Jeruk),88,4,62,55,14,88,PM10,SEDANG
5/23/2013,DKI5 (Kebon Jeruk),60,5,35,149,13,149,O3,TIDAK SEHAT
5/24/2013,DKI5 (Kebon Jeruk),61,6,21,119,13,119,O3,TIDAK SEHAT
5/25/2013,DKI5 (Kebon Jeruk),69,5,22,76,15,76,O3,SEDANG
5/26/2013,DKI5 (Kebon Jeruk),62,5,21,103,10,103,O3,TIDAK SEHAT
5/27/2013,DKI5 (Kebon Jeruk),61,6,16,82,11,82,O3,SEDANG
5/28/2013,DKI5 (Kebon Jeruk),62,8,33,66,9,66,O3,SEDANG
5/29/2013,DKI5 (Kebon Jeruk),70,6,67,58,13,70,PM10,SEDANG
5/30/2013,DKI5 (Kebon Jeruk),47,6,16,75,18,75,O3,SEDANG
5/31/2013,DKI5 (Kebon Jeruk),39,5,10,43,7,43,O3,BAIK
6/1/2013,DKI5 (Kebon Jeruk),41,4,7,46,4,46,O3,BAIK
6/2/2013,DKI5 (Kebon Jeruk),52,7,16,48,8,52,PM10,SEDANG
6/3/2013,DKI5 (Kebon Jeruk),53,6,12,34,9,53,PM10,SEDANG
6/4/2013,DKI5 (Kebon Jeruk),34,5,11,37,7,37,O3,BAIK
6/5/2013,DKI5 (Kebon Jeruk),54,5,15,50,9,54,PM10,SEDANG
6/14/2013,DKI5 (Kebon Jeruk),56,7,29,71,11,71,O3,SEDANG
6/15/2013,DKI5 (Kebon Jeruk),53,8,13,69,10,69,O3,SEDANG
6/16/2013,DKI5 (Kebon Jeruk),85,4,40,151,13,151,O3,TIDAK SEHAT
6/17/2013,DKI5 (Kebon Jeruk),84,5,38,93,14,93,O3,SEDANG
6/18/2013,DKI5 (Kebon Jeruk),69,4,33,36,11,69,PM10,SEDANG
6/19/2013,DKI5 (Kebon Jeruk),59,8,18,46,7,59,PM10,SEDANG
6/20/2013,DKI5 (Kebon Jeruk),68,6,26,59,14,68,PM10,SEDANG
6/21/2013,DKI5 (Kebon Jeruk),97,6,44,61,15,97,PM10,SEDANG
6/22/2013,DKI5 (Kebon Jeruk),,,40,,,40,CO,BAIK
6/25/2013,DKI5 (Kebon Jeruk),83,7,21,81,13,83,PM10,SEDANG
6/26/2013,DKI5 (Kebon Jeruk),85,7,20,86,12,86,O3,SEDANG
6/27/2013,DKI5 (Kebon Jeruk),74,4,53,45,16,74,PM10,SEDANG
6/28/2013,DKI5 (Kebon Jeruk),54,5,12,68,12,68,O3,SEDANG
6/29/2013,DKI5 (Kebon Jeruk),87,7,50,63,13,87,PM10,SEDANG
6/30/2013,DKI5 (Kebon Jeruk),73,5,32,47,13,73,PM10,SEDANG
7/1/2013,DKI5 (Kebon Jeruk),55,4,15,40,14,55,PM10,SEDANG
7/2/2013,DKI5 (Kebon Jeruk),65,5,22,79,10,79,O3,SEDANG
7/3/2013,DKI5 (Kebon Jeruk),52,4,19,63,16,63,O3,SEDANG
7/4/2013,DKI5 (Kebon Jeruk),58,6,26,27,19,58,PM10,SEDANG
7/5/2013,DKI5 (Kebon Jeruk),60,5,29,37,16,60,PM10,SEDANG
7/6/2013,DKI5 (Kebon Jeruk),52,6,25,47,12,52,PM10,SEDANG
7/7/2013,DKI5 (Kebon Jeruk),78,5,31,65,16,78,PM10,SEDANG
7/8/2013,DKI5 (Kebon Jeruk),104,7,63,87,14,104,PM10,TIDAK SEHAT
7/9/2013,DKI5 (Kebon Jeruk),71,5,18,58,10,71,PM10,SEDANG
7/10/2013,DKI5 (Kebon Jeruk),51,5,17,75,13,75,O3,SEDANG
7/11/2013,DKI5 (Kebon Jeruk),73,6,32,47,12,73,PM10,SEDANG
7/17/2013,DKI5 (Kebon Jeruk),74,5,34,,10,74,PM10,SEDANG
7/18/2013,DKI5 (Kebon Jeruk),67,6,36,,17,67,PM10,SEDANG
7/19/2013,DKI5 (Kebon Jeruk),60,7,18,99,14,99,O3,SEDANG
7/20/2013,DKI5 (Kebon Jeruk),70,4,26,129,13,129,O3,TIDAK SEHAT
7/21/2013,DKI5 (Kebon Jeruk),77,7,32,98,14,98,O3,SEDANG
7/22/2013,DKI5 (Kebon Jeruk),62,6,32,112,15,112,O3,TIDAK SEHAT
7/23/2013,DKI5 (Kebon Jeruk),81,7,46,93,23,93,O3,SEDANG
7/24/2013,DKI5 (Kebon Jeruk),63,9,13,49,14,63,PM10,SEDANG
7/25/2013,DKI5 (Kebon Jeruk),62,8,,29,9,62,PM10,SEDANG
7/26/2013,DKI5 (Kebon Jeruk),44,8,,47,9,47,O3,BAIK
7/27/2013,DKI5 (Kebon Jeruk),60,8,11,69,13,69,O3,SEDANG
7/28/2013,DKI5 (Kebon Jeruk),69,7,22,47,15,69,PM10,SEDANG
7/29/2013,DKI5 (Kebon Jeruk),62,9,11,99,11,99,O3,SEDANG
7/30/2013,DKI5 (Kebon Jeruk),68,7,10,61,16,68,PM10,SEDANG
7/31/2013,DKI5 (Kebon Jeruk),57,,,,,57,PM10,SEDANG
8/1/2013,DKI5 (Kebon Jeruk),68,,,,,68,PM10,SEDANG
8/2/2013,DKI5 (Kebon Jeruk),60,8,10,52,15,60,PM10,SEDANG
8/3/2013,DKI5 (Kebon Jeruk),68,7,10,72,10,72,O3,SEDANG
8/4/2013,DKI5 (Kebon Jeruk),62,8,7,63,9,63,O3,SEDANG
8/5/2013,DKI5 (Kebon Jeruk),66,6,8,87,9,87,O3,SEDANG
8/6/2013,DKI5 (Kebon Jeruk),86,7,12,122,13,122,O3,TIDAK SEHAT
8/7/2013,DKI5 (Kebon Jeruk),61,5,7,86,7,86,O3,SEDANG
8/8/2013,DKI5 (Kebon Jeruk),55,5,13,55,8,55,PM10,SEDANG
8/9/2013,DKI5 (Kebon Jeruk),36,5,10,52,12,52,O3,SEDANG
8/10/2013,DKI5 (Kebon Jeruk),52,5,7,69,10,69,O3,SEDANG
8/11/2013,DKI5 (Kebon Jeruk),54,6,9,92,8,92,O3,SEDANG
8/12/2013,DKI5 (Kebon Jeruk),50,6,5,107,7,107,O3,TIDAK SEHAT
8/13/2013,DKI5 (Kebon Jeruk),56,7,6,115,7,115,O3,TIDAK SEHAT
8/14/2013,DKI5 (Kebon Jeruk),56,7,5,78,10,78,O3,SEDANG
8/15/2013,DKI5 (Kebon Jeruk),57,7,5,54,8,57,PM10,SEDANG
8/18/2013,DKI5 (Kebon Jeruk),38,6,5,,6,38,PM10,BAIK
8/19/2013,DKI5 (Kebon Jeruk),52,6,8,,8,52,PM10,SEDANG
8/20/2013,DKI5 (Kebon Jeruk),51,7,5,,10,51,PM10,SEDANG
8/21/2013,DKI5 (Kebon Jeruk),65,8,7,,11,65,PM10,SEDANG
8/22/2013,DKI5 (Kebon Jeruk),66,8,8,,12,66,PM10,SEDANG
8/23/2013,DKI5 (Kebon Jeruk),82,10,8,113,15,113,O3,TIDAK SEHAT
8/24/2013,DKI5 (Kebon Jeruk),74,8,8,88,13,88,O3,SEDANG
8/25/2013,DKI5 (Kebon Jeruk),63,9,5,75,10,75,O3,SEDANG
8/26/2013,DKI5 (Kebon Jeruk),61,8,5,71,10,71,O3,SEDANG
8/27/2013,DKI5 (Kebon Jeruk),66,8,6,85,10,85,O3,SEDANG
8/28/2013,DKI5 (Kebon Jeruk),72,8,8,118,13,118,O3,TIDAK SEHAT
8/29/2013,DKI5 (Kebon Jeruk),64,9,5,66,10,66,O3,SEDANG
8/30/2013,DKI5 (Kebon Jeruk),88,6,13,69,17,88,PM10,SEDANG
8/31/2013,DKI5 (Kebon Jeruk),53,6,6,66,9,66,O3,SEDANG
9/1/2013,DKI5 (Kebon Jeruk),56,8,7,59,10,59,O3,SEDANG
9/2/2013,DKI5 (Kebon Jeruk),61,8,9,77,13,77,O3,SEDANG
9/3/2013,DKI5 (Kebon Jeruk),75,8,10,125,10,125,O3,TIDAK SEHAT
9/4/2013,DKI5 (Kebon Jeruk),75,6,7,64,9,75,PM10,SEDANG
9/5/2013,DKI5 (Kebon Jeruk),70,7,10,139,12,139,O3,TIDAK SEHAT
9/6/2013,DKI5 (Kebon Jeruk),58,8,6,85,12,85,O3,SEDANG
9/7/2013,DKI5 (Kebon Jeruk),68,8,7,64,8,68,PM10,SEDANG
9/8/2013,DKI5 (Kebon Jeruk),63,7,7,81,8,81,O3,SEDANG
9/9/2013,DKI5 (Kebon Jeruk),66,7,8,86,10,86,O3,SEDANG
9/10/2013,DKI5 (Kebon Jeruk),78,8,11,98,13,98,O3,SEDANG
9/11/2013,DKI5 (Kebon Jeruk),66,9,7,94,11,94,O3,SEDANG
9/12/2013,DKI5 (Kebon Jeruk),65,10,6,70,13,70,O3,SEDANG
9/13/2013,DKI5 (Kebon Jeruk),76,8,9,105,11,105,O3,TIDAK SEHAT
9/14/2013,DKI5 (Kebon Jeruk),64,6,5,85,12,85,O3,SEDANG
9/15/2013,DKI5 (Kebon Jeruk),66,7,8,82,11,82,O3,SEDANG
9/16/2013,DKI5 (Kebon Jeruk),52,7,7,63,12,63,O3,SEDANG
9/17/2013,DKI5 (Kebon Jeruk),68,7,9,138,10,138,O3,TIDAK SEHAT
9/18/2013,DKI5 (Kebon Jeruk),77,7,9,75,9,77,PM10,SEDANG
9/19/2013,DKI5 (Kebon Jeruk),69,10,8,91,10,91,O3,SEDANG
9/20/2013,DKI5 (Kebon Jeruk),71,8,8,66,11,71,PM10,SEDANG
9/21/2013,DKI5 (Kebon Jeruk),62,6,6,134,9,134,O3,TIDAK SEHAT
9/22/2013,DKI5 (Kebon Jeruk),66,6,7,93,8,93,O3,SEDANG
9/23/2013,DKI5 (Kebon Jeruk),61,7,6,128,9,128,O3,TIDAK SEHAT
9/24/2013,DKI5 (Kebon Jeruk),60,8,5,79,8,79,O3,SEDANG
9/25/2013,DKI5 (Kebon Jeruk),76,7,7,117,11,117,O3,TIDAK SEHAT
9/26/2013,DKI5 (Kebon Jeruk),50,7,5,88,8,88,O3,SEDANG
9/27/2013,DKI5 (Kebon Jeruk),60,8,5,82,9,82,O3,SEDANG
9/28/2013,DKI5 (Kebon Jeruk),68,9,5,84,8,84,O3,SEDANG
9/29/2013,DKI5 (Kebon Jeruk),74,10,7,82,8,82,O3,SEDANG
9/30/2013,DKI5 (Kebon Jeruk),73,7,8,54,9,73,PM10,SEDANG
10/1/2013,DKI5 (Kebon Jeruk),89,10,11,85,16,89,PM10,SEDANG
10/2/2013,DKI5 (Kebon Jeruk),82,10,10,110,13,110,O3,TIDAK SEHAT
10/3/2013,DKI5 (Kebon Jeruk),75,7,9,110,10,110,O3,TIDAK SEHAT
10/4/2013,DKI5 (Kebon Jeruk),73,8,5,91,9,91,O3,SEDANG
10/5/2013,DKI5 (Kebon Jeruk),74,9,6,105,11,105,O3,TIDAK SEHAT
10/6/2013,DKI5 (Kebon Jeruk),69,7,6,134,7,134,O3,TIDAK SEHAT
10/7/2013,DKI5 (Kebon Jeruk),61,8,6,79,11,79,O3,SEDANG
10/8/2013,DKI5 (Kebon Jeruk),90,9,11,88,21,90,PM10,SEDANG
10/9/2013,DKI5 (Kebon Jeruk),70,8,9,117,12,117,O3,TIDAK SEHAT
10/10/2013,DKI5 (Kebon Jeruk),60,7,5,81,11,81,O3,SEDANG
10/11/2013,DKI5 (Kebon Jeruk),71,7,8,77,12,77,O3,SEDANG
10/12/2013,DKI5 (Kebon Jeruk),62,8,7,88,10,88,O3,SEDANG
10/13/2013,DKI5 (Kebon Jeruk),57,7,7,74,11,74,O3,SEDANG
10/14/2013,DKI5 (Kebon Jeruk),59,7,6,85,8,85,O3,SEDANG
10/15/2013,DKI5 (Kebon Jeruk),54,8,6,76,9,76,O3,SEDANG
10/16/2013,DKI5 (Kebon Jeruk),59,8,7,60,11,60,O3,SEDANG
10/17/2013,DKI5 (Kebon Jeruk),56,9,6,37,13,56,PM10,SEDANG
10/18/2013,DKI5 (Kebon Jeruk),56,9,6,55,10,56,PM10,SEDANG
10/19/2013,DKI5 (Kebon Jeruk),76,8,12,109,11,109,O3,TIDAK SEHAT
10/20/2013,DKI5 (Kebon Jeruk),56,11,5,91,12,91,O3,SEDANG
10/21/2013,DKI5 (Kebon Jeruk),57,9,8,77,11,77,O3,SEDANG
